"date","weather_str","min_Temperature","max_Temperature","Precipitation","snow"
"20171009","구름많음",19.8,27.6,0,0
"20171010","비",18.6,24.8,0.4,0
"20171011","비",12.2,21.7,20,0
"20171012","구름많음",8.8,0,0,0
"20171013","구름조금",6.1,18.9,0,0
"20171014","구름조금",9,20.5,0,0
"20171015","구름조금",9,23,0,0
"20171016","흐림",13.6,22,0,0
"20171017","맑음",9.2,23.9,0,0
"20171018","비",14.2,19.1,0.1,0
"20171019","구름조금",11.9,23.2,0,0
"20171020","맑음",11.1,24.2,0,0
"20171021","맑음",11,25.2,0,0
"20171022","맑음",11,23.5,0,0
"20171023","맑음",8.6,20.6,0,0
"20171024","구름조금",9.9,20.9,0,0
"20171025","구름조금",9.5,20.6,0,0
"20171026","흐림",10.7,18.1,0,0
"20171027","맑음",11.9,24.2,0,0
"20171028","맑음",10.6,24.8,0,0
"20171029","맑음",6.3,17.2,0,0
"20171030","맑음",2.5,13.2,0,0
"20171031","맑음",3.6,16,0,0
"20171101","흐림",11.5,18.1,0,0
"20171102","비",14,18,1,0
"20171103","비",6.1,16.6,1.5,0
"20171104","맑음",4.5,13.7,0,0
"20171105","구름조금",2.6,15.4,0,0
"20171106","구름조금",8,16.5,0,0
"20171107","흐림",9.2,18.4,0,0
"20171108","구름조금",6.9,17.2,0,0
"20171109","맑음",3.7,16.8,0,0
"20171110","비",5.3,15.9,7.5,0
"20171111","맑음",2.7,10.7,0,0
"20171112","맑음",0.3,11.4,0,0
"20171113","비",3.1,11.8,4.5,0
"20171114","맑음",2.9,11.4,0,0
"20171115","구름조금",-1.1,6.5,0,0
"20171116","맑음",-3.4,6.4,0,0
"20171117","흐림",-1.6,5.8,0,0
"20171118","맑음",-4.8,2.6,0,0
"20171119","구름조금",-6.6,3.5,0,0
"20171120","구름조금",-3.9,4.2,0,0
"20171121","맑음",-4.2,8.1,0,0
"20171122","비",0.6,10.8,0.5,0
"20171123","눈",-2.5,4.7,1.2,1.5
"20171124","구름조금",-2.5,2.9,0,0
"20171125","비",-3.3,7.3,24,0
"20171126","구름조금",-0.3,7.6,0,0
"20171127","맑음",-2.9,9.5,0,0
"20171128","비",1.3,11.2,0.5,0
"20171129","구름조금",-1.8,8.1,0,0
"20171130","맑음",-5.2,2.7,0,0
"20171201","맑음",-7.6,3.1,0,0
"20171202","구름조금",-4.6,8.1,0,0
"20171203","비",3.1,8.1,4,0
"20171204","비",-6.1,4.5,0.1,0
"20171205","눈",-8.2,-0.4,0.1,0.1
"20171206","눈",-4.5,6,1.2,1
"20171207","구름조금",-3.5,4.6,0,0
"20171208","맑음",-7.1,-0.5,0,0
"20171209","구름조금",-5.6,5.4,0,0
"20171210","눈",-2.5,6.7,4.1,4.3
"20171211","맑음",-11,-2.5,0,0
"20171212","맑음",-12.3,-5.2,0,0
"20171213","맑음",-12,-4.4,0,0
