"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type"
20150225,8445,88923,NA,NA,1,0,1,1,121.33,"energy_sun_location_total"
20150304,32402,89901,NA,NA,0,1,1,1,118.35,"energy_general_location_total"
20150311,8395,87039,NA,NA,1,0,1,1,118.35,"energy_sun_location_total"
20150318,11703,89642,NA,NA,0,1,1,1,118.35,"energy_general_location_total"
20150325,26311,89627,NA,NA,1,0,1,1,118.35,"energy_sun_location_total"
20150401,35505,94756,NA,NA,0,1,1,1,103.72,"energy_general_location_total"
20150408,34200,92217,NA,NA,1,0,1,1,103.72,"energy_sun_location_total"
20150415,29012,95457,NA,NA,0,1,1,1,103.72,"energy_general_location_total"
20150422,42436,93986,NA,NA,1,0,1,1,103.72,"energy_sun_location_total"
20150508,49571,95218,NA,NA,0,1,1,1,96.62,"energy_general_location_total"
20150513,22728,88999,69000,95000,1,0,1,0,96.31,"energy_sun_location_in"
20150520,15118,95563,94000,98100,0,1,1,0,96.31,"energy_general_location_in"
20150529,989,87000,87000,87000,1,0,0,1,130.94,"energy_sun_location_out"
20150529,49694,89816,75000,93000,1,0,1,0,96.31,"energy_sun_location_in"
20150603,36003,96254,94900,96500,0,1,1,0,84.13,"energy_general_location_in"
20150610,184,87000,87000,87000,1,0,0,1,131.79,"energy_sun_location_out"
20150610,56622,91341,70000,93000,1,0,1,0,84.13,"energy_sun_location_in"
20150617,24802,96000,96000,96000,0,1,0,1,131.79,"energy_general_location_out"
20150617,17535,97002,95500,98200,0,1,1,0,84.13,"energy_general_location_in"
20150624,53765,92984,80000,96000,1,0,1,0,84.13,"energy_sun_location_in"
20150701,12007,98105,95000,99500,0,1,1,0,81.53,"energy_general_location_in"
20150708,108,37166,36000,38000,1,0,0,1,133.6,"energy_sun_location_out"
20150708,64033,93530,72000,97000,1,0,1,0,81.53,"energy_sun_location_in"
20150715,25133,98525,95100,98600,0,1,1,0,81.53,"energy_general_location_in"
20150722,28365,91671,80000,94000,1,0,1,0,81.53,"energy_sun_location_in"
20150805,25114,96986,96000,97000,0,1,1,0,88.15,"energy_general_location_in"
20150812,57367,91892,70000,95000,1,0,1,0,88.15,"energy_sun_location_in"
20150826,127348,92985,77000,95000,1,0,1,0,88.15,"energy_sun_location_in"
20150902,349,91032,90500,91600,0,1,1,0,90.73,"energy_general_location_in"
20150909,57604,92640,72000,95000,1,0,1,0,90.73,"energy_sun_location_in"
20150916,17911,93379,91000,95000,0,1,1,0,90.73,"energy_general_location_in"
20150923,4093,89705,83000,91000,1,0,1,0,90.73,"energy_sun_location_in"
20151007,9337,93231,86000,93600,0,1,1,0,98.29,"energy_general_location_in"
20151014,468,39111,38000,42000,1,0,0,1,103.99,"energy_sun_location_out"
20151014,274,43000,43000,43000,1,0,0,1,103.99,"energy_sun_location_out"
20151014,119,35000,35000,35000,1,0,0,1,103.99,"energy_sun_location_out"
20151014,32757,90099,83000,92000,1,0,1,0,98.29,"energy_sun_location_in"
20151021,16209,94597,91100,95000,0,1,1,0,98.29,"energy_general_location_in"
20151028,103421,91792,84000,95000,1,0,1,0,98.29,"energy_sun_location_in"
20151104,12732,45500,45500,45500,0,1,0,1,99.28,"energy_general_location_out"
20151104,6562,94833,92500,96000,0,1,1,0,94.89,"energy_general_location_in"
20151111,84389,93131,74000,95000,1,0,1,0,94.89,"energy_sun_location_in"
20151118,14394,61000,61000,61000,0,1,0,1,99.28,"energy_general_location_out"
20151118,8065,95482,94100,96000,0,1,1,0,94.89,"energy_general_location_in"
20151125,70584,93343,80000,96000,1,0,1,0,94.89,"energy_sun_location_in"
20151202,9455,95940,92000,96200,0,1,1,0,95.41,"energy_general_location_in"
20151209,1733,58259,49000,63000,1,0,0,1,100.97,"energy_sun_location_out"
20151209,124618,94983,80000,98000,1,0,1,0,95.41,"energy_sun_location_in"
20151216,8691,97244,95100,98800,0,1,1,0,95.41,"energy_general_location_in"
20151223,637,52962,38000,62000,1,0,0,1,100.97,"energy_sun_location_out"
20151223,122937,97459,70000,120000,1,0,1,0,95.41,"energy_sun_location_in"
20160106,1152,51000,51000,51000,0,1,0,1,97.79,"energy_general_location_out"
20160106,14085,109964,95000,113000,0,1,1,0,90.7,"energy_general_location_in"
20160113,4052,69448,40000,71000,1,0,0,1,97.79,"energy_sun_location_out"
20160113,86732,104974,71000,120000,1,0,1,0,90.7,"energy_sun_location_in"
20160120,5031,66600,66600,66600,0,1,0,1,97.79,"energy_general_location_out"
20160120,5353,110000,110000,110000,0,1,1,0,90.7,"energy_general_location_in"
20160127,8897,81447,60000,110000,1,0,0,1,97.79,"energy_sun_location_out"
20160127,132484,118210,65000,165000,1,0,1,0,90.7,"energy_sun_location_in"
20160203,1879,1e+05,1e+05,1e+05,0,1,0,1,88.05,"energy_general_location_out"
20160203,25319,149962,140000,160000,0,1,1,0,87.62,"energy_general_location_in"
20160212,12466,113470,110000,170000,1,0,0,1,88.05,"energy_sun_location_out"
20160212,138883,166815,85000,2e+05,1,0,1,0,87.62,"energy_sun_location_in"
20160217,29585,154736,101000,160000,0,1,1,0,87.62,"energy_general_location_in"
20160304,3337,108733,80000,120000,1,1,1,0,87.34,"energy_total_location_in"
20160309,1087,86342,81700,94500,1,1,0,1,84.26,"energy_total_location_out"
20160309,13694,103813,75000,115000,1,1,1,0,87.34,"energy_total_location_in"
20160316,20,58700,58700,58700,1,1,0,1,84.26,"energy_total_location_out"
20160316,397,86664,70000,93000,1,1,1,0,87.34,"energy_total_location_in"
