date,energy,count,amount,transaction,min_amount,max_amount,location,
20160615,total,54982,119717,755,70000,127000,in,
20160622,total,26167,121263,247,80000,130000,in,
20160629,total,35507,121115,617,89200,130000,in,
20160706,total,99433,126060,1101,75000,133000,in,
20160713,total,90241,130522,555,80400,139000,in,
20160720,total,59250,132314,695,82200,140000,in,
20160727,total,82812,135605,1037,81000,142000,in,
20160803,total,72708,140828,856,100100,156000,in,
20160810,total,76468,145714,971,86000,154000,in,
20160819,total,2238,123286,54,80000,130000,in,
20160824,total,26342,130657,374,80000,139000,in,
20160831,total,24263,135488,118,89000,144000,in,
20160907,total,164326,144804,1583,81000,156000,in,
20160921,total,128866,154505,1742,87000,166100,in,
20160928,total,65020,158244,735,107000,168000,in,
20161007,total,116713,164875,1318,95000,175000,in,
20160309,total,1087,86342,7,81700,94500,out,
20160316,total,20,58700,1,58700,58700,out,
20160323,total,310,78238,2,77800,78500,out,
20160406,total,2543,84291,6,79400,88300,out,
20160414,total,1395,94347,6,81700,99200,out,
20160420,total,2697,99441,5,78700,101400,out,
20160427,total,229,89173,2,81700,90300,out,
20160504,total,3251,97397,32,47700,112300,out,
20160511,total,37,90800,1,90800,90800,out,
20160518,total,511,87603,3,79700,105800,out,
20160525,total,2843,115400,1,115400,115400,out,
20160601,total,751,104737,4,102300,110700,out,
20160615,total,910,95420,21,56200,105000,out,
20160622,total,2985,102376,2,101000,102400,out,
20160629,total,10,65300,1,65300,65300,out,
20160706,total,4693,103279,31,93700,114400,out,
20160713,total,44982,122780,24,56700,111700,out,
20160720,total,1772,92774,26,58700,111700,out,
20160727,total,3399,114429,46,83800,121700,out,
20160803,total,2752,118518,29,100700,122700,out,
20160810,total,356,105400,1,105400,105400,out,
20160819,total,317,96600,1,96600,96600,out,
20160824,total,428,106750,7,93700,115700,out,
20160831,total,736,107700,5,91700,111700,out,
20160907,total,6060,121727,39,108800,133300,out,
20160921,total,3869,124587,70,98700,141700,out,
20160928,total,2534,139102,9,108700,150600,out,
20161007,total,6040,155853,36,140000,160400,out,
20161012,total,"67,871","174,267",800,"95,100","186,200",in,
20161012,total,612,"149,315",6,"140,800","160,600",out,
20161019,total,"32,858","174,217",340,"121,100","180,500",in,
20161019,total,968,"152,766",8,"130,200","158,300",out,
20161026,total,"34,698","173,136",307,"93,100","185,100",in,
20161026,total,"2,031","137,242",21,"96,800","160,700",out,
20161102,total,"2,868","154,633",59,"85,000","165,000",in,
20161102,total,379,"140,514",3,"138,900","145,000",out,
20161109,total,"6,245","144,250",116,"103,000","155,000",in,
20161116,total,"11,380","142,230",143,"90,000","149,900",in,
20161116,total,142,"116,770",2,"101,700","121,700",out,
20161123,total,"43,966","145,725",406,"120,100","150,100",in,
20161123,total,673,"123,013",7,"119,100","125,300",out,
20161130,total,"37,390","152,095",419,"85,000","162,000",in,
20161130,total,104,"113,430",4,"98,700","126,700",out,
20161207,total,"68,626","157,041",985,"86,000","170,000",in,
20161207,total,223,"127,500",2,"127,500","127,500",out,
20161214,total,"94,883","169,419",779,"116,000","179,900",in,
20161214,total,"3,091","137,161",31,"120,000","150,000",out,
20161221,total,"69,892","174,107","1,049","101,000","180,000",in,
20161221,total,"8,270","162,080",39,"120,000","165,400",out,
20161228,total,"39,939","171,637",420,"100,000","180,000",in,
20161228,total,483,"149,336",5,"131,700","152,900",out,
20170104,total,"19,704","168,096",212,"85,100","174,500",in,
20170104,total,959,"145,462",11,"136,800","151,700",out,
20170111,total,"1,153","135,058",44,"95,000","149,000",in,
20170118,total,"13,464","141,328",230,"76,000","150,000",in,
20170118,total,192,"124,271",4,"123,600","125,900",out,
20170125,total,"86,898","161,576",740,"78,700","170,900",in,
20170125,total,"1,366","135,899",20,"124,700","150,000",out,
20170203,total,"17,924","159,345",170,"100,000","165,000",in,
20170208,total,"28,853","153,710",462,"89,000","160,000",in,
20170208,total,"22,197","128,246",12,"118,700","141,700",out,
20170215,total,"51,638","145,494",63,"110,000","150,000",in,
20170215,total,"1,968","125,060",4,"80,400","132,400",out,
20170222,total,121,"106,446",6,"95,000","120,000",in,
20170308,total,"26,820","126,851",271,"92,700","149,000",in,
20170308,total,80,"93,200",4,"88,700","98,700",out,
20170315,total,"42,012","137,640",340,"99,400","143,000",in,
20170315,total,158,"108,546",2,"96,600","111,700",out,
20170328,total,"12,539","118,874",,"117,500","120,000",in,
20170328,total,863,"107,197",,"106,900","109,000",out,
20170330,total,"10,669","119,516",,"115,000","121,300",in,
20170330,total,844,"106,944",,"104,800","107,800",out,
20170404,total,"12,539","122,463",,"115,500","125,200",in,
20170404,total,863,"110,859",,"108,900","112,400",out,
20170406,total,"12,436","124,245",,"120,000","125,000",in,
20170406,total,17,"113,800",,"113,800","113,800",out,
20170411,total,"12,213","124,888",,"126,200","122,500",in,
20170411,total,69,"111,191",,"103,800","114,800",out,
20170413,total,"13,035","123,513",,"119,100","125,100",in,
20170413,total,986,"113,770",,"105,800","114,000",out,
20170418,total,"18,099","124,176",,"120,000","125,100",in,
20170418,total,409,"110,646",,"108,900","112,100",out,
20170420,total,"21,180","127,628",,"122,100","130,000",in,
20170420,total,"1,079","112,034",,"108,000","118,800",out,
20170425,total,"14,911","128,072",,"117,000","130,000",in,
20170425,total,"1,543","114,895",,"97,800","118,800",out,
20170427,total,"8,113","125,998",,"120,000","130,000",in,
20170427,total,36,"116,800",,"116,800","116,800",out,
20170502,total,"11,451","128,288",,"118,000","130,500",in,
20170502,total,"2,860","120,907",,"117,600","121,000",out,
20170504,total,"13,040","129,858",,"120,000","131,000",in,
20170504,total,333,"117,782",,"110,700","119,300",out,
20170511,total,"36,987","129,882",,"120,000","130,500",in,
20170511,total,740,"117,285",,"110,800","121,000",out,
20170516,total,"43,153","132,472",,"130,000","133,500",in,
20170516,total,206,"119,246",,"112,800","121,800",out,
20170518,total,"9,305","132,387",,"129,500","134,000",in,
20170518,total,80,"117,000",,"117,000","117,000",out,
20170523,total,"43,385","132,330",,"128,000","133,000",in,
20170523,total,94,"119,032",,"115,800","120,800",out,
20170525,total,"42,430","132,100",,"128,100","133,000",in,
20170525,total,99,"119,633",,"119,300","120,800",out,
20170530,total,"11,530","130,445",,"128,000","132,000",in,
20170530,total,11,"120,700",,"120,700","120,700",out,
20170601,total,"14,899","130,037",,"125,000","131,000",in,
20170601,total,473,"115,605",,"110,800","120,000",out,
20170608,total,"135,260","132,362",,"120,000","133,500",in,
20170608,total,"2,578","120,791",,"110,800","124,000",out,
20170613,total,"2,231","126,757",,"125,500","129,000",in,
20170613,total,114,"115,300",,"115,300","115,300",out,
20170615,total,"16,198","128,969",,"119,000","130,000",in,
20170615,total,268,"115,289",,"109,800","118,800",out,
20170620,total,"73,082","129,341",,"123,000","129,500",in,
20170620,total,48,"118,866",,"117,700","120,500",out,
20170622,total,"3,289","124,159",,"120,000","125,000",in,
20170622,total,61,"112,800",,"112,800","112,800",out,
20170627,total,"5,327","124,708",,"110,000","126,100",in,
20170627,total,"47,820","128,127",,"122,500","130,000",in,
20170629,total,163,"115,020",,"105,800","117,100",out,
20170704,total,"7,697","124,933",,"124,000","125,000",in,
20170706,total,"11,925","124,849",,"124,500","126,000",in,
20170706,total,192,"112,048",,"111,900","112,100",out,
20170711,total,"19,054","128,048",,"124,800","130,000",in,
20170711,total,369,"116,121",,"115,900","117,800",out,
20170713,total,"42,021","129,215",,"124,900","130,000",in,
20170713,total,467,"116,458",,"110,300","118,800",out,
20170718,total,"8,708","125,542",,"125,000","126,000",in,
20170718,total,92,"106,500",,"106,500","106,500",out,
20170720,total,"38,229","128,996",,"125,100","130,000",in,
20170720,total,"3,202","114,767",,"110,800","118,800",out,
20170725,total,"11,169","125,346",,"125,000","126,000",in,
20170725,total,"1,561","112,035",,"111,900","112,100",out,
20170727,total,"23,735","126,235",,"125,000","128,000",in,
20170727,total,273,"115,080",,"115,000","115,100",out,
20170801,total,"25,203","127,337",,"123,000","128,000",in,
20170801,total,112,"114,775",,"114,700","115,400",out,
20170803,total,"30,908","127,425",,"124,600","128,200",in,
20170803,total,27,"115,600",,"115,600","115,600",out,
